#rank	chr	start	end	strand
452	11	3101592	3102442	+
453	18	78463706	78465256	+
454	4	131825586	131826715	+
455	4	151808884	151810041	+
456	7	115940289	115941448	+
457	11	74859800	74860944	+
458	7	119884936	119885802	+
459	7	137385722	137386255	+
460	2	116797441	116799047	+
461	1	122858299	122858909	+
462	5	64991564	64992208	+
463	3	126208536	126209200	+
464	5	3341406	3344432	+
465	14	27880574	27881825	+
466	8	27336767	27338100	+
467	4	116987343	116989417	+
468	6	66232340	66232789	+
469	12	9585346	9587478	+
470	18	53786425	53787364	+
471	18	55922618	55924105	+
472	2	180170186	180170789	+
473	9	113934757	113935574	+
474	9	106786972	106788408	+
475	4	124627688	124628369	+
476	6	50675849	50676909	+
477	18	55857463	55858258	+
478	6	94080147	94081154	+
479	2	26977020	26979139	+
480	1	194661073	194661809	+
481	2	61291520	61292917	+
482	7	127910554	127911195	+
483	8	124603828	124605136	+
484	1	164004129	164005634	+
485	2	152562158	152566071	+
486	11	96142782	96143996	+
487	2	136913320	136914493	+
488	16	73754274	73755296	+
489	8	108043021	108045806	+
490	13	54851710	54852736	+
491	9	61062693	61063552	+
492	11	53064108	53064906	+
493	16	30064413	30067131	+
494	4	114388690	114389779	+
495	18	55654607	55655547	+
496	4	135706517	135707458	+
497	2	80235951	80237791	+
498	5	129836664	129837258	+
499	4	128481598	128483009	+
500	11	119669963	119670809	+
501	8	48121871	48122642	+
502	9	87959379	87960558	+
503	6	85441401	85442227	+
504	2	73815412	73816521	+
505	3	135960322	135961003	+
506	14	59605883	59607190	+
507	3	29515985	29516859	+
508	2	51061770	51063701	+
509	3	66548168	66549262	+
510	2	64985395	64985838	+
511	2	70399125	70400183	+
512	6	5757896	5758583	+
513	19	14799584	14800368	+
514	13	63663502	63666653	+
515	15	102843887	102845357	+
516	X	49979514	49981030	+
517	2	173100399	173101385	+
518	17	44754712	44755847	+
519	15	8582078	8583004	+
520	1	62694180	62695295	+
521	5	85346445	85347312	+
522	2	115217586	115218557	+
523	7	103815969	103816556	+
524	3	141441189	141441890	+
525	6	100352809	100353406	+
526	4	6379789	6380846	+
527	7	122553894	122554557	+
528	2	114957617	114958565	+
529	15	50528525	50530400	+
530	2	59511783	59512694	+
531	17	83566018	83567048	+
532	5	101751892	101752731	+
533	8	94390302	94391366	+
534	7	71386710	71387386	+
535	2	158484361	158485220	+
536	6	117775353	117776005	+
537	1	20125000	20125925	+
538	12	12944525	12950747	+
539	3	9519673	9520955	+
540	11	23973940	23974777	+
541	1	173152404	173153368	+
542	9	36950638	36951783	+
543	9	88109364	88110149	+
544	15	73985876	73987361	+
545	5	106879197	106880218	+
546	3	39220894	39222049	+
547	8	59393958	59394975	+
548	8	59101045	59102615	+
549	18	78952913	78953657	+
550	12	95487234	95488315	+
551	11	74955171	74955940	+
552	15	35677936	35678600	+
553	12	103765241	103765773	+
554	5	93344159	93345572	+
555	8	111185204	111185854	+
556	12	54689516	54690686	+
557	2	181408079	181409250	+
558	1	165687696	165688417	+
559	8	94497595	94498470	+
560	8	14321128	14322208	+
561	16	65360080	65360745	+
562	5	4949361	4950271	+
563	6	145381259	145382564	+
564	5	120474063	120475073	+
565	11	51224187	51225324	+
566	8	90385091	90386020	+
567	12	9244234	9244809	+
568	6	52171630	52173227	+
569	17	71197137	71200447	+
570	9	87879240	87881008	+
571	17	29600122	29602924	+
572	13	98347117	98348032	+
573	2	5020290	5020734	+
574	12	31195644	31196398	+
575	9	43069401	43070900	+
576	17	12917804	12918888	+
577	15	61881068	61881354	+
578	13	63431339	63432350	+
579	7	38248845	38249964	+
580	16	15195231	15195913	+
581	13	63629202	63630949	+
582	3	39289175	39290117	+
583	1	192171362	192172253	+
584	1	92231467	92232846	+
585	17	75404106	75404967	+
586	9	62704861	62706723	+
587	6	52917494	52918375	+
588	2	141381391	141383117	+
589	4	72607086	72608496	+
590	3	7028866	7029438	+
591	13	28787627	28788871	+
592	18	21369535	21370170	+
593	12	85531283	85532484	+
594	6	101245898	101247010	+
595	2	119444111	119445271	+
596	1	61357606	61359618	+
597	6	66985614	66987323	+
598	1	136302168	136302630	+
599	3	99469493	99470727	+
600	2	147013563	147014333	+
601	11	88369362	88369949	+
602	9	52266164	52267099	+
603	7	143343045	143343867	+
604	16	54991687	54992598	+
605	15	78627012	78627970	+
606	15	51629729	51630562	+
607	13	34852523	34853318	+
608	8	94135868	94137843	+
609	2	60422265	60422799	+
610	1	135837960	135838883	+
611	13	6547476	6548442	+
612	2	12203506	12204672	+
613	6	145946551	145947600	+
614	5	127790583	127791987	+
615	2	75090732	75091345	+
616	2	168656974	168657887	+
617	4	104395916	104397225	+
618	3	101993387	101994993	+
619	9	61561769	61562748	+
620	16	57445127	57445897	+
621	12	27871960	27873004	+
622	5	98595450	98596817	+
623	10	93920985	93922120	+
624	2	75046203	75048159	+
625	15	32567430	32568304	+
626	5	84717084	84717832	+
627	12	72603663	72604586	+
628	5	93689956	93690441	+
629	7	78705245	78706183	+
630	10	120024776	120025761	+
631	7	89868551	89869977	+
632	13	43987129	43988075	+
633	16	43617275	43618092	+
634	2	159324046	159325204	+
635	9	110647919	110649414	+
636	11	112981891	112983855	+
637	7	119932352	119933164	+
638	2	34100126	34100860	+
639	13	63669469	63671820	+
640	1	157059091	157060556	+
641	11	78058592	78060055	+
642	5	45077240	45078029	+
643	12	31003232	31003412	+
644	11	64647042	64648494	+
645	13	98550184	98551321	+
646	12	109127801	109128919	+
647	3	151771760	151772916	+
648	1	134842055	134843122	+
649	11	102491569	102492945	+
650	1	127119647	127120406	+
651	13	44890872	44892026	+
652	12	16546230	16547828	+
653	1	82254975	82256057	+
654	18	50201625	50202209	+
655	7	32240844	32241130	+
656	X	49969455	49971863	+
657	17	83577355	83579094	+
658	3	30005563	30007727	+
659	10	74223292	74223935	+
660	16	38012980	38013741	+
661	7	75589165	75590596	+
662	6	127523102	127524297	+
663	8	106308316	106309302	+
664	2	59363071	59363879	+
665	6	51146304	51147955	+
666	19	40622843	40623885	+
667	15	51459952	51460403	+
668	2	93016783	93017705	+
669	5	135252154	135252733	+
670	18	16187085	16187906	+
671	9	103300724	103301440	+
672	10	120309037	120309900	+
673	6	4507038	4508193	+
674	17	24346347	24347260	+
675	11	62660388	62661341	+
676	3	34151715	34152662	+
677	7	73328153	73328972	+
678	11	66476542	66477257	+
679	3	83792073	83792875	+
680	5	125591128	125592091	+
681	6	21952892	21953769	+
682	18	55929428	55930316	+
683	15	82812564	82814527	+
684	11	118115445	118116275	+
685	2	34428148	34429277	+
686	15	83508404	83509536	+
687	12	33322345	33323062	+
688	4	35301027	35301745	+
689	18	54564001	54564643	+
690	19	17558950	17559447	+
691	4	8958542	8959292	+
692	1	62671657	62672669	+
693	3	128779075	128779911	+
694	19	3912136	3913219	+
695	1	93734779	93736678	+
696	4	142850223	142850751	+
697	1	55188575	55189176	+
698	5	13331086	13332394	+
699	11	24114402	24115193	+
700	5	139553489	139554548	+
701	1	82199294	82199797	+
702	1	61376331	61376919	+
703	9	61536876	61538050	+
704	1	82449746	82450397	+
705	5	43440720	43441617	+
706	12	9344663	9346442	+
707	3	67963777	67964700	+
708	5	74551789	74552149	+
709	2	73961167	73962146	+
710	15	31909541	31910347	+
711	18	40254050	40254222	+
712	6	77163407	77164284	+
713	18	34539392	34540551	+
714	2	51724514	51725128	+
715	1	186277621	186278645	+
716	12	35321872	35323664	+
717	5	114250309	114251004	+
718	3	141901020	141902120	+
719	9	54550771	54551597	+
720	7	123003582	123004851	+
721	16	33123229	33124871	+
722	5	120078012	120078988	+
723	3	147009766	147011000	+
724	16	62964144	62964756	+
725	13	8566546	8567570	+
726	8	42632883	42633802	+
727	5	99003304	99004384	+
728	19	56963125	56963446	+
729	15	56689372	56690547	+
730	17	83575756	83576614	+
731	16	4558081	4558912	+
732	17	25921103	25922165	+
733	15	25592039	25593181	+
734	3	136919202	136919811	+
735	10	13429336	13429862	+
736	13	54427515	54428663	+
737	4	109797533	109798481	+
738	11	101519502	101520196	+
739	4	129051644	129052231	+
740	17	17991609	17992557	+
741	11	111430020	111430873	+
742	15	12996166	12997322	+
743	2	104232394	104233267	+
744	7	37491939	37493085	+
745	18	55107557	55110053	+
746	18	15313940	15315235	+
747	12	31711130	31711860	+
748	12	57402912	57403830	+
749	2	172758946	172760430	+
750	10	82505061	82505974	+
751	15	95469094	95471433	+
752	8	55571679	55572534	+
753	7	25144106	25144599	+
754	1	64925291	64925985	+
755	11	96180449	96181457	+
756	12	42016391	42017428	+
757	13	44515060	44515947	+
758	3	80850380	80851880	+
759	5	134931954	134933008	+
760	11	24688752	24689550	+
761	11	85547284	85549041	+
762	2	38273384	38274010	+
763	9	43801279	43801929	+
764	2	174692537	174694374	+
765	7	149738409	149740214	+
766	11	18612377	18613164	+
767	9	60830230	60831313	+
768	7	143580822	143582555	+
769	2	172713162	172714158	+
770	8	123422776	123423592	+
771	17	46093227	46093903	+
772	16	98218249	98219389	+
773	2	34796456	34797556	+
774	2	104689887	104690204	+
775	16	10849999	10851097	+
776	8	11298361	11299569	+
777	3	65390187	65391847	+
778	12	10283787	10284527	+
779	15	54678743	54679769	+
780	5	44035944	44036989	+
781	9	97934471	97935438	+
782	16	89882730	89883287	+
783	1	185372432	185373536	+
784	12	102228221	102228949	+
785	8	83482695	83484115	+
786	18	52987248	52988247	+
787	12	54724762	54726133	+
788	1	92015519	92016254	+
789	13	32119023	32119541	+
790	10	120268313	120269155	+
791	10	38273409	38274276	+
792	7	79294858	79296205	+
793	3	123493752	123494259	+
794	7	152364955	152366406	+
795	15	37065489	37066249	+
796	1	59818979	59820109	+
797	18	65683187	65684457	+
798	6	143447760	143448961	+
799	3	84073684	84074843	+
800	X	71166289	71167555	+
801	11	19530817	19532104	+
802	7	152366929	152367781	+
803	10	31165049	31165879	+
804	3	149151027	149152114	+
805	4	22897491	22898124	+
806	7	136822020	136823005	+
807	9	108854595	108855240	+
808	4	120489646	120490261	+
809	16	91746619	91747058	+
810	2	92273713	92275313	+
811	2	128218896	128219791	+
812	2	166330822	166331302	+
813	6	65873433	65874133	+
814	16	30761202	30761945	+
815	11	116896939	116897863	+
816	1	72301771	72302520	+
817	17	23736005	23736809	+
818	7	75574554	75575631	+
819	7	132481689	132482266	+
820	17	4497871	4499347	+
821	18	35820842	35821923	+
822	6	32317922	32319081	+
823	3	128906839	128907988	+
824	1	62934230	62934784	+
825	1	34593185	34593932	+
826	1	186068309	186069109	+
827	2	43957751	43958537	+
828	9	27898860	27899413	+
829	10	119975289	119976136	+
830	1	194624899	194626439	+
831	2	71019120	71020244	+
832	11	112875414	112876468	+
833	7	26473025	26474070	+
834	18	57904501	57905622	+
835	2	68891251	68892363	+
836	10	125358699	125360186	+
837	4	148819430	148820492	+
838	15	75472326	75472959	+
839	5	113426426	113426965	+
840	3	38582828	38583753	+
841	8	42697067	42698152	+
842	12	27500196	27501556	+
843	12	106059703	106060905	+
844	2	51703904	51704471	+
845	3	154210299	154211852	+
846	13	63672903	63676180	+
847	15	84659656	84660415	+
848	5	127799406	127800176	+
849	18	7094191	7095376	+
850	12	106051883	106053100	+
851	13	97986016	97986862	+
852	6	53603771	53604983	+
853	7	107915563	107916273	+
854	2	171458893	171459688	+
855	X	45477622	45478445	+
856	3	96616992	96617674	+
857	9	104815045	104815445	+
858	16	32332500	32333622	+
859	5	132061295	132062241	+
860	5	134549056	134549986	+
861	12	76937250	76938155	+
862	19	28185761	28186621	+
863	7	52025350	52025844	+
864	13	3711373	3712667	+
865	7	102697576	102698496	+
866	11	87236042	87237013	+
867	17	81224452	81225645	+
868	12	97088298	97089102	+
869	3	30318673	30320065	+
870	3	122062309	122063186	+
871	11	96292929	96293686	+
872	19	56176513	56177402	+
873	16	29940061	29941464	+
874	18	6136291	6137093	+
875	9	99141873	99142798	+
876	11	51451248	51452027	+
877	7	19930559	19931234	+
878	3	80887229	80888026	+
879	4	58543057	58544042	+
880	2	110134717	110135518	+
881	7	83692362	83692545	+
882	2	30512937	30514943	+
883	5	101541032	101541913	+
884	3	121814250	121814991	+
885	5	13058876	13059754	+
886	12	106248159	106249144	+
887	11	52921160	52921974	+
888	15	82830738	82831558	+
889	17	48110997	48113254	+
890	8	46957246	46957822	+
891	12	111134382	111135000	+
892	18	66182169	66183259	+
893	4	114451679	114452637	+
894	8	11002372	11003391	+
895	18	35990696	35992009	+
896	2	84582482	84584478	+
897	7	149718854	149719896	+
898	8	105507152	105508590	+
899	19	10477444	10478121	+
900	4	41607435	41608775	+
901	5	53770355	53771438	+
902	8	127765801	127767068	+
903	X	94555865	94556747	+
904	19	24631312	24632650	+
905	11	120123153	120124166	+
906	18	54250630	54253211	+
907	8	92182759	92183585	+
908	11	18517211	18518011	+
909	1	93481629	93482441	+
910	16	92927493	92928731	+
911	1	43501748	43503036	+
912	8	116327543	116328803	+
913	4	97314440	97315830	+
914	13	102197628	102198408	+
915	1	45950986	45951736	+
916	3	8708577	8709249	+
917	5	39189959	39190686	+
918	8	42677341	42679089	+
919	16	52030993	52033091	+
920	18	54611804	54612835	+
921	7	137750012	137750834	+
922	11	8152673	8153689	+
923	11	115206773	115208053	+
924	18	55613183	55613908	+
925	14	47325899	47326755	+
926	6	50936150	50936838	+
927	15	78965910	78966720	+
928	8	89344410	89345122	+
929	9	56728666	56729462	+
930	12	34884752	34885439	+
931	3	66786087	66786889	+
932	2	142058545	142059240	+
933	15	94937268	94937991	+
934	2	74521081	74522818	+
935	11	98932900	98933694	+
936	3	14579218	14580124	+
937	19	23475846	23476761	+
938	5	67277819	67278598	+
939	12	84822336	84822913	+
940	10	116873685	116874670	+
941	9	72610759	72611549	+
942	7	143404513	143406197	+
943	11	45363516	45364603	+
944	8	42126141	42127724	+
945	2	75395252	75395948	+
946	18	55586911	55587764	+
947	1	163950073	163951249	+
948	1	158894092	158895134	+
949	4	122673595	122675056	+
950	15	12444899	12445907	+
951	17	81722360	81723180	+
952	19	47472160	47473051	+
953	18	37344326	37345156	+
954	4	133808653	133809531	+
955	12	6003727	6004736	+
956	13	89878009	89879881	+
957	4	128574940	128577573	+
958	13	55072055	55072945	+
959	5	37154364	37154821	+
960	17	48126661	48127773	+
961	8	73416824	73417775	+
962	3	62310391	62311562	+
963	9	116293607	116294192	+
964	17	29193483	29194259	+
965	15	77733754	77734726	+
966	7	26614824	26615572	+
967	17	3406811	3407532	+
968	8	94471946	94473080	+
969	12	118665981	118666678	+
970	17	86431379	86432033	+
971	4	130671061	130671738	+
972	4	87376793	87377674	+
973	6	39214575	39215497	+
974	19	56174047	56175056	+
975	16	29734549	29735991	+
976	4	32389643	32390998	+
977	11	35320429	35321873	+
978	2	172626180	172626676	+
979	17	5057901	5058972	+
980	14	101134256	101135418	+
981	2	32172584	32175584	+
982	11	105961899	105962552	+
983	17	16355567	16356162	+
984	6	125753282	125753979	+
985	5	113986777	113988346	+
986	2	141850167	141850910	+
987	18	25222628	25223370	+
988	14	22685147	22686338	+
989	4	13714842	13715572	+
990	6	122247786	122249092	+
991	6	127102449	127105036	+
992	3	27987818	27988385	+
993	5	151467448	151468648	+
994	6	120772099	120772931	+
995	2	74976136	74977558	+
996	6	50876136	50876856	+
997	9	114493103	114494373	+
998	7	38120269	38121270	+
